Time,pH,mCa,mTIC,mCO3,rdiss,Omega
279,9.70427,7.89764e-05,0.000104348,2.00045e-05,3.39966e-07,0.477117
280.5,9.70521,7.91525e-05,0.000104621,2.00922e-05,3.37912e-07,0.480276
282,9.70615,7.93263e-05,0.000104891,2.01791e-05,3.35871e-07,0.483415
283.5,9.70707,7.94979e-05,0.00010516,2.02654e-05,3.33844e-07,0.486532
285,9.70798,7.96674e-05,0.000105426,2.0351e-05,3.3183e-07,0.489629
286.5,9.70887,7.98347e-05,0.00010569,2.04359e-05,3.29831e-07,0.492704
288,9.70975,7.99999e-05,0.000105953,2.05201e-05,3.27845e-07,0.495758
289.5,9.71061,8.0163e-05,0.000106213,2.06036e-05,3.25873e-07,0.49879
291,9.71146,8.0324e-05,0.000106472,2.06864e-05,3.23916e-07,0.5018
292.5,9.7123,8.04829e-05,0.000106728,2.07686e-05,3.21972e-07,0.504789
294,9.71313,8.06397e-05,0.000106983,2.085e-05,3.20043e-07,0.507757
295.5,9.71394,8.07945e-05,0.000107236,2.09308e-05,3.18128e-07,0.510702
297,9.71474,8.09473e-05,0.000107486,2.10109e-05,3.16227e-07,0.513626
298.5,9.71553,8.1098e-05,0.000107735,2.10903e-05,3.1434e-07,0.516528
300,9.7163,8.12468e-05,0.000107982,2.11691e-05,3.12467e-07,0.519407
301.5,9.71707,8.13936e-05,0.000108228,2.12472e-05,3.10609e-07,0.522265
303,9.71782,8.15384e-05,0.000108471,2.13246e-05,3.08765e-07,0.525101
304.5,9.71856,8.16813e-05,0.000108712,2.14014e-05,3.06935e-07,0.527915
306,9.71929,8.18223e-05,0.000108952,2.14775e-05,3.0512e-07,0.530707
307.5,9.72,8.19613e-05,0.00010919,2.15529e-05,3.03319e-07,0.533477
309,9.72071,8.20985e-05,0.000109426,2.16278e-05,3.01532e-07,0.536225
310.5,9.7214,8.22338e-05,0.000109661,2.17019e-05,2.9976e-07,0.538951
312,9.72209,8.23672e-05,0.000109894,2.17755e-05,2.98002e-07,0.541654
313.5,9.72276,8.24988e-05,0.000110124,2.18484e-05,2.96258e-07,0.544336
315,9.72342,8.26286e-05,0.000110354,2.19206e-05,2.94529e-07,0.546995
316.5,9.72408,8.27566e-05,0.000110581,2.19923e-05,2.92814e-07,0.549633
318,9.72472,8.28828e-05,0.000110807,2.20633e-05,2.91113e-07,0.552249
319.5,9.72535,8.30072e-05,0.000111031,2.21337e-05,2.89427e-07,0.554842
321,9.72597,8.31298e-05,0.000111254,2.22035e-05,2.87755e-07,0.557414
322.5,9.72658,8.32508e-05,0.000111475,2.22726e-05,2.86097e-07,0.559964
324,9.72718,8.337e-05,0.000111694,2.23412e-05,2.84453e-07,0.562492
325.5,9.72777,8.34875e-05,0.000111912,2.24092e-05,2.82823e-07,0.564998
327,9.72836,8.36033e-05,0.000112128,2.24765e-05,2.81208e-07,0.567483
328.5,9.72893,8.37175e-05,0.000112342,2.25433e-05,2.79607e-07,0.569946
330,9.72949,8.383e-05,0.000112555,2.26095e-05,2.78019e-07,0.572387
331.5,9.73005,8.39408e-05,0.000112767,2.2675e-05,2.76446e-07,0.574807
333,9.73059,8.40501e-05,0.000112977,2.27401e-05,2.74887e-07,0.577205
334.5,9.73113,8.41577e-05,0.000113185,2.28045e-05,2.73342e-07,0.579581
336,9.73166,8.42638e-05,0.000113392,2.28683e-05,2.7181e-07,0.581937
